Time to create 108901 pairs for Sorted Array: 244.269 seconds.
Time to search 4532 pairs for Sorted Array: 0.009686 seconds.

Pairs and their number of appearances:
[{martelli, is} apps: 1]
[{be, that} apps: 13]
[{may, venture} apps: 1]
[{materials, of} apps: 3]
[{the, relative} apps: 27]
[{and, important} apps: 3]
[{manuscripts, now} apps: 1]
[{science, than} apps: 1]
[{we, find} apps: 52]
[{could, not} apps: 43]
[{be, found} apps: 60]
[{this, final} apps: 1]
[{all, over} apps: 6]
[{them, aside} apps: 2]
[{in, the} apps: 1787]
[{various, kinds} apps: 9]
[{on, the} apps: 988]
[{199, on} apps: 1]
[{point, of} apps: 46]
[{museum, and} apps: 1]
[{had, already} apps: 8]
[{mss, for} apps: 3]
[{on, physics} apps: 3]
[{on, images} apps: 2]
[{635, 637} apps: 2]
[{wanting, on} apps: 1]
[{acqua, di} apps: 1]
[{the, science} apps: 6]
[{the, mirror} apps: 30]
[{find, out} apps: 2]
[{disorder, in} apps: 2]
[{and, by} apps: 80]
[{manuscript, which} apps: 1]
[{sigillorum, and} apps: 1]
[{me, throughout} apps: 1]
[{had, in} apps: 2]
[{von, humboldt} apps: 2]
[{of, the} apps: 4417]
[{this, authoritative} apps: 1]
[{it, before} apps: 4]
[{are, a} apps: 11]
[{that, notwithstanding} apps: 1]
[{has, no} apps: 35]
[{intervals, are} apps: 2]
[{famiglia, martelli} apps: 1]
[{catalogue, of} apps: 3]
[{the, object} apps: 134]
[{was, satisfied} apps: 1]
[{case, 69} apps: 1]
[{in, which} apps: 136]
[{or, again} apps: 3]
[{thickness, of} apps: 43]
[{the, effect} apps: 27]
[{methods, of} apps: 10]
[{of, the} apps: 4417]
[{90, the} apps: 1]
[{the, distribution} apps: 11]
[{beyond, the} apps: 36]
[{avoid, falling} apps: 1]
[{to, have} apps: 91]
[{but, a} apps: 34]
[{of, painting} apps: 66]
[{most, of} apps: 23]
[{famiglie, celebri} apps: 1]
[{frequently, mentioned} apps: 2]
[{to, the} apps: 1381]
[{preface, a} apps: 1]
[{and, in} apps: 220]
[{placed, opposite} apps: 8]
[{29, the} apps: 3]
[{their, exceptional} apps: 1]
[{183, 187} apps: 2]
[{1, to} apps: 2]
[{the, reciprocal} apps: 2]
[{beginning, of} apps: 43]
[{sequence, with} apps: 1]
[{on, the} apps: 988]
[{came, within} apps: 1]
[{298, 299} apps: 1]
[{of, mss} apps: 4]
[{different, languages} apps: 1]
[{222, 223} apps: 2]
[{if, they} apps: 43]
[{the, elements} apps: 23]
[{of, the} apps: 4417]
[{altered, so} apps: 1]
[{the, proportions} apps: 24]
[{volunteers, title} apps: 1]
[{on, shadows} apps: 3]
[{the, revd} apps: 2]
[{great, distances} apps: 6]
[{he, was} apps: 47]
[{of, the} apps: 4417]
[{by, leonardo} apps: 63]
[{all, over} apps: 6]
[{far, short} apps: 1]
[{and, use} apps: 5]
[{for, the} apps: 289]
[{handwriting, is} apps: 2]
[{without, eating} apps: 2]
[{of, the} apps: 4417]
[{to, work} apps: 15]
[{rash, to} apps: 4]
[{passage, belongs} apps: 2]
[{brought, them} apps: 2]
[{how, and} apps: 4]
[{during, his} apps: 3]
[{of, the} apps: 4417]
[{of, some} apps: 35]
[{and, plans} apps: 3]
[{668, on} apps: 1]
[{of, the} apps: 4417]
[{that, he} apps: 94]
[{is, not} apps: 146]
[{conte, manzoni} apps: 1]
[{donation, to} apps: 1]
[{lamented, this} apps: 1]
[{rights, and} apps: 1]
[{to, measure} apps: 6]
[{only, point} apps: 1]
[{is, scarcely} apps: 7]
[{general, introduction} apps: 5]
[{do, not} apps: 110]
[{satisfactorily, dealt} apps: 1]
[{perspective, of} apps: 24]
[{proportions, of} apps: 38]
[{of, volume} apps: 4]
[{fifth, book} apps: 3]
[{reproduced, in} apps: 10]
[{at, holkham} apps: 1]
[{of, different} apps: 13]
[{several, times} apps: 8]
[{indebted, to} apps: 4]
[{is, not} apps: 146]
[{the, science} apps: 6]
[{permission, granted} apps: 1]
[{to, be} apps: 412]
[{definition, 222} apps: 2]
[{to, sculpture} apps: 2]
[{fault, no} apps: 1]
[{and, aerial} apps: 3]
[{several, years} apps: 1]
[{henri, de} apps: 1]
[{the, relative} apps: 27]
[{119, 122} apps: 2]
[{would, be} apps: 91]
[{copies, at} apps: 1]
[{figure, are} apps: 2]
[{to, represent} apps: 41]
[{occupied, his} apps: 2]
[{obscura, 273} apps: 2]
[{machines, to} apps: 1]
[{right, position} apps: 2]
[{here, hoping} apps: 1]
[{exercises, 507} apps: 2]
[{to, regulate} apps: 1]
[{electronic, texts} apps: 1]
[{whatever, to} apps: 1]
[{85, the} apps: 1]
[{obliged, him} apps: 1]
[{to, prove} apps: 42]
[{of, the} apps: 4417]
[{shade, 111} apps: 2]
[{137, 140} apps: 2]
[{difference, between} apps: 16]
[{and, in} apps: 220]
[{may, imagine} apps: 2]
[{possible, to} apps: 25]
[{148, 149} apps: 2]
[{ebook, this} apps: 1]
[{world, be} apps: 1]
[{181, the} apps: 1]
[{were, almost} apps: 1]
[{is, so} apps: 29]
[{too, by} apps: 1]
[{lights, of} apps: 6]
[{39, and} apps: 2]
[{important, original} apps: 1]
[{would, confuse} apps: 1]
[{that, we} apps: 21]
[{that, leonardo} apps: 67]
[{on, the} apps: 988]
[{derived, shadows} apps: 26]
[{valuable, and} apps: 2]
[{footnote, a} apps: 19]
[{me, was} apps: 3]
[{treatment, of} apps: 9]
[{writings, i} apps: 3]
[{of, the} apps: 4417]
[{remarks, on} apps: 14]
[{227, 231} apps: 3]
[{remain, connected} apps: 1]
[{to, leonardos} apps: 1]
[{361, the} apps: 1]
[{of, light} apps: 145]
[{199, on} apps: 1]
[{passages, here} apps: 4]
[{that, the} apps: 462]
[{on, the} apps: 988]
[{varnishes, 635} apps: 1]
[{and, shade} apps: 106]
[{is, to} apps: 158]
[{book, on} apps: 38]
[{58, 64} apps: 1]
[{this, ebook} apps: 14]
[{to, left} apps: 6]
[{size, of} apps: 56]
[{and, recompose} apps: 1]
[{the, beginning} apps: 51]
[{and, a} apps: 80]
[{on, one} apps: 38]
[{by, connecting} apps: 1]
[{in, bound} apps: 1]
[{night, scenes} apps: 1]
[{anything, rather} apps: 1]
[{the, sea} apps: 212]
[{experiment, 293} apps: 2]
[{392, viii} apps: 1]
[{of, the} apps: 4417]
[{272, the} apps: 1]
[{prolegomena, 110} apps: 2]
[{royal, library} apps: 4]
[{287, 288} apps: 2]
[{at, short} apps: 3]
[{of, the} apps: 4417]
[{combined, in} apps: 2]
[{by, jean} apps: 2]
[{no, other} apps: 17]
[{on, the} apps: 988]
[{at, the} apps: 466]
[{deluge, 607} apps: 2]
[{mirror, in} apps: 3]
[{can, only} apps: 13]
[{and, discoveries} apps: 2]
[{a, comparatively} apps: 1]
[{this, obvious} apps: 1]
[{curls, 389} apps: 2]
[{treatment, of} apps: 9]
[{the, art} apps: 8]
[{by, jean} apps: 2]
[{distances, 182} apps: 2]
[{taken, in} apps: 7]
[{to, the} apps: 1381]
[{but, also} apps: 4]
[{not, merely} apps: 13]
[{for, by} apps: 3]
[{of, the} apps: 4417]
[{235, 239} apps: 3]
[{of, the} apps: 4417]
[{the, manuscripts} apps: 23]
[{human, body} apps: 11]
[{very, important} apps: 2]
[{on, painting} apps: 27]
[{movement, of} apps: 25]
[{the, incarnation} apps: 1]
[{practice, of} apps: 11]
[{434, a} apps: 1]
[{light, and} apps: 211]
[{remember, to} apps: 7]
[{observations, on} apps: 14]
[{or, again} apps: 3]
[{whole, out} apps: 1]
[{information, about} apps: 5]
[{book, on} apps: 38]
[{describe, my} apps: 2]
[{flower, seeds} apps: 2]
[{distribution, of} apps: 14]
[{of, the} apps: 4417]
[{and, elements} apps: 2]
[{493, 494} apps: 2]
[{materials, of} apps: 3]
[{every, description} apps: 1]
[{and, shade} apps: 106]
[{has, borne} apps: 1]
[{362, 367} apps: 1]
[{of, the} apps: 4417]
[{there, is} apps: 153]
[{to, publish} apps: 3]
[{to, sculpture} apps: 2]
[{royal, library} apps: 4]
[{the, different} apps: 18]
[{vol, ii} apps: 14]
[{of, the} apps: 4417]
[{extant, these} apps: 1]
[{since, the} apps: 30]
[{hence, this} apps: 5]
[{that, i} apps: 42]
[{trattato, the} apps: 1]
[{intention, to} apps: 5]
[{423, 426} apps: 2]
[{the, usefulness} apps: 3]
[{admonition, to} apps: 2]
[{handwriting, is} apps: 2]
[{the, british} apps: 6]
[{are, written} apps: 39]
[{434, a} apps: 1]
[{65, 66} apps: 2]
[{because, the} apps: 105]
[{would, at} apps: 1]
[{mistaken, idea} apps: 2]
[{on, the} apps: 988]
[{puzzling, and} apps: 1]
[{to, leonardos} apps: 1]
[{this, ancient} apps: 1]
[{8, 5} apps: 2]
[{there, is} apps: 153]
[{little, that} apps: 1]
[{of, the} apps: 4417]
[{when, painting} apps: 2]
[{period, of} apps: 9]
[{the, amount} apps: 11]
[{all, the} apps: 238]
[{of, this} apps: 262]
[{gustavo, frizzoni} apps: 2]
[{there, is} apps: 153]
[{supper, 665} apps: 2]
[{light, and} apps: 211]
[{their, order} apps: 1]
[{remarks, 128} apps: 2]
[{between, light} apps: 6]
[{of, painting} apps: 66]
[{wrote, it} apps: 1]
[{368, 375} apps: 2]
[{nearly, all} apps: 1]
[{beginning, of} apps: 43]
[{where, it} apps: 74]
[{of, the} apps: 4417]
[{falling, down} apps: 2]
[{read, the} apps: 3]
[{proved, and} apps: 1]
[{is, headed} apps: 2]
[{the, manuscripts} apps: 23]
[{of, christ} apps: 9]
[{the, pyramid} apps: 38]
[{of, the} apps: 4417]
[{shadows, 119} apps: 2]
[{england, italy} apps: 1]
[{word, sughero} apps: 1]
[{of, modern} apps: 5]
[{of, the} apps: 4417]
[{proof, of} apps: 9]
[{light, on} apps: 25]
[{works, 531} apps: 2]
[{and, shade} apps: 106]
[{65, 66} apps: 2]
[{of, leicester} apps: 2]
[{and, index} apps: 1]
[{present, day} apps: 6]
[{himself, he} apps: 4]
[{was, computed} apps: 1]
[{as, dependent} apps: 2]
[{da, vinci} apps: 60]
[{leonardo, da} apps: 37]
[{and, general} apps: 1]
[{centuries, have} apps: 1]
[{for, compositions} apps: 2]
[{other, enquirers} apps: 1]
[{principles, of} apps: 15]
[{known, portion} apps: 1]
[{start, on} apps: 1]
[{point, to} apps: 6]
[{till, his} apps: 2]
[{226, on} apps: 1]
[{vary, at} apps: 2]
[{let, no} apps: 1]
[{friend, baron} apps: 1]
[{third, the} apps: 3]
[{commission, centrale} apps: 1]
[{to, judge} apps: 5]
[{gestures, 593} apps: 2]
[{construction, of} apps: 25]
[{664, notes} apps: 1]
[{shade, with} apps: 3]
[{since, have} apps: 2]
[{scheme, of} apps: 7]
[{at, ashburnham} apps: 1]
[{beginning, of} apps: 43]
[{i, will} apps: 56]
[{of, painting} apps: 66]
[{function, of} apps: 13]
[{to, the} apps: 1381]
[{the, process} apps: 5]
[{with, considerable} apps: 1]
[{are, a} apps: 11]
[{scheme, indeed} apps: 1]
[{painting, of} apps: 11]
[{denned, by} apps: 1]
[{rests, with} apps: 1]
[{i, owe} apps: 3]
[{s, scope} apps: 2]
[{painting, is} apps: 12]
[{the, differences} apps: 4]
[{years, within} apps: 1]
[{painting, is} apps: 12]
[{left, hand} apps: 28]
[{397, 402} apps: 1]
[{by, referring} apps: 1]
[{to, the} apps: 1381]
[{humans, and} apps: 1]
[{to, which} apps: 41]
[{impossible, to} apps: 15]
[{complete, this} apps: 2]
[{by, the} apps: 724]
[{registered, for} apps: 1]
[{had, gone} apps: 1]
[{great, difficulties} apps: 1]
[{instance, easily} apps: 1]
[{seeds, 481} apps: 2]
[{486, 487} apps: 3]
[{theory, of} apps: 22]
[{movement, of} apps: 25]
[{the, views} apps: 1]
[{with, the} apps: 412]
[{backwards, just} apps: 1]
[{in, trees} apps: 10]
[{shadow, of} apps: 38]
[{in, the} apps: 1787]
[{when, first} apps: 1]
[{appear, to} apps: 30]
[{the, period} apps: 6]
[{to, the} apps: 1381]
[{painting, of} apps: 11]
[{leonardos, literary} apps: 1]
[{in, other} apps: 8]
[{of, the} apps: 4417]
[{the, prices} apps: 1]
[{growth, 403} apps: 2]
[{that, it} apps: 150]
[{507, 508} apps: 2]
[{on, the} apps: 988]
[{the, order} apps: 25]
[{light, and} apps: 211]
[{what, this} apps: 3]
[{anghiari, 669} apps: 1]
[{her, majesty} apps: 3]
[{at, venice} apps: 14]
[{of, the} apps: 4417]
[{proportions, of} apps: 38]
[{relative, proportion} apps: 5]
[{e, misura} apps: 2]
[{foot, 324} apps: 1]
[{work, were} apps: 1]
[{scheme, under} apps: 1]
[{the, revd} apps: 2]
[{within, a} apps: 4]
[{in, every} apps: 33]
[{suggestions, for} apps: 10]
[{on, the} apps: 988]
[{further, complications} apps: 2]
[{of, the} apps: 4417]
[{s, manuscripts} apps: 4]
[{188, 191} apps: 2]
[{to, left} apps: 6]
[{martelli, di} apps: 1]
[{painting, 513} apps: 2]
[{proving, them} apps: 1]
[{original, texts} apps: 3]
[{think, that} apps: 4]
[{of, schedule} apps: 1]
[{and, of} apps: 137]
[{written, and} apps: 6]
[{other, cases} apps: 4]
[{to, him} apps: 39]
[{of, manuscript} apps: 2]
[{for, an} apps: 9]
[{of, growth} apps: 4]
[{659, on} apps: 1]
[{here, reproduced} apps: 9]
[{these, afford} apps: 1]
[{ebook, was} apps: 1]
[{tube, through} apps: 1]
[{impressions, of} apps: 1]
[{motion, of} apps: 35]
[{i, do} apps: 18]
[{by, the} apps: 724]
[{le, quali} apps: 3]
[{which, are} apps: 217]
[{light, 130} apps: 2]
[{supper, at} apps: 1]
[{of, the} apps: 4417]
[{577, 581} apps: 2]
[{insertion, of} apps: 19]
[{without, written} apps: 1]
[{effect, of} apps: 26]
[{to, copy} apps: 3]
[{arising, from} apps: 1]
[{colour, of} apps: 55]
[{at, last} apps: 16]
[{the, notebooks} apps: 6]
[{into, english} apps: 1]
[{here, printed} apps: 7]
[{of, light} apps: 145]
[{that, it} apps: 150]
[{time, and} apps: 18]
[{of, the} apps: 4417]
[{da, vinci} apps: 60]
[{that, each} apps: 10]
[{alternative, readings} apps: 1]
[{343, the} apps: 1]
[{576, general} apps: 1]
[{system, and} apps: 1]
[{the, sequence} apps: 2]
[{in, juxtaposition} apps: 2]
[{ebook, was} apps: 1]
[{has, been} apps: 79]
[{on, mathematics} apps: 2]
[{for, detailed} apps: 1]
[{catalogue, of} apps: 3]
[{difficulties, of} apps: 2]
[{mechanics, physics} apps: 1]
[{of, theoretical} apps: 2]
[{hand, and} apps: 24]
[{and, shade} apps: 106]
[{of, time} apps: 22]
[{in, the} apps: 1787]
[{martelli, di} apps: 1]
[{painting, of} apps: 11]
[{to, master} apps: 2]
[{the, light} apps: 248]
[{485, the} apps: 1]
[{have, never} apps: 6]
[{of, this} apps: 262]
[{of, figures} apps: 8]
[{2, when} apps: 1]
[{in, the} apps: 1787]
[{of, trees} apps: 46]
[{handwriting, appears} apps: 1]
[{suggestions, for} apps: 10]
[{work, for} apps: 10]
[{of, which} apps: 119]
[{pieces, 601} apps: 2]
[{arranged, in} apps: 7]
[{22nd, day} apps: 1]
[{arising, from} apps: 1]
[{and, back} apps: 2]
[{the, leaves} apps: 39]
[{of, the} apps: 4417]
[{several, years} apps: 1]
[{and, shade} apps: 106]
[{sight, 25} apps: 1]
[{supper, at} apps: 1]
[{that, the} apps: 462]
[{by, the} apps: 724]
[{so, long} apps: 16]
[{and, some} apps: 13]
[{200, 202} apps: 2]
[{of, shadows} apps: 18]
[{were, all} apps: 7]
[{iii, the} apps: 5]
[{sorts, of} apps: 6]
[{for, landscapes} apps: 2]
[{portions, such} apps: 1]
[{i, where} apps: 2]
[{the, water} apps: 150]
[{331, on} apps: 1]
[{water, 478} apps: 2]
[{56, how} apps: 1]
[{were, numbered} apps: 1]
[{the, bottom} apps: 79]
[{light, and} apps: 211]
[{prove, its} apps: 2]
[{the, text} apps: 127]
[{at, that} apps: 28]
[{at, berlin} apps: 1]
[{235, 239} apps: 3]
[{difficulty, of} apps: 1]
[{relative, proportions} apps: 12]
[{the, rainbow} apps: 11]
[{any, means} apps: 1]
[{became, so} apps: 1]
[{observations, on} apps: 14]
[{literary, labours} apps: 2]
[{a, classification} apps: 2]
[{the, manuscripts} apps: 23]
[{vasari, says} apps: 1]
[{eye, 141} apps: 2]
[{on, the} apps: 988]
[{figure, painting} apps: 3]
[{team, the} apps: 1]
[{how, and} apps: 4]
[{from, the} apps: 826]
[{letters, and} apps: 4]
[{on, branches} apps: 3]
[{writings, as} apps: 1]
[{senatore, del} apps: 1]
[{of, white} apps: 7]
[{works, in} apps: 5]
[{further, mention} apps: 2]
[{perspective, 90} apps: 2]
[{on, indistinctness} apps: 6]
[{and, general} apps: 1]
[{that, had} apps: 2]
[{and, at} apps: 75]
[{of, aerial} apps: 6]
[{in, water} apps: 15]
[{contents, remained} apps: 1]
[{of, march} apps: 7]
[{the, first} apps: 214]
[{was, enabled} apps: 1]
[{reflection, of} apps: 17]
[{in, his} apps: 116]
[{only, but} apps: 3]
[{proportions, of} apps: 38]
[{of, vol} apps: 2]
[{human, figure} apps: 12]
[{the, motions} apps: 13]
[{the, order} apps: 25]
[{the, passage} apps: 38]
[{shadows, 183} apps: 2]
[{s, intention} apps: 3]
[{the, repeated} apps: 2]
[{2004, ebook} apps: 1]
[{to, monsieur} apps: 2]
[{continuation, of} apps: 3]
[{explained, by} apps: 14]
[{a, comparatively} apps: 1]
[{of, volume} apps: 4]
[{due, to} apps: 5]
[{colours, 618} apps: 2]
[{contain, much} apps: 1]
[{the, branches} apps: 22]
[{to, the} apps: 1381]
[{most, reverent} apps: 1]
[{to, get} apps: 6]
[{which, are} apps: 217]
[{suffered, irremediable} apps: 1]
[{the, lighting} apps: 4]
[{uffizi, at} apps: 1]
[{do, they} apps: 6]
[{eye, 74} apps: 3]
[{disk, by} apps: 1]
[{now, be} apps: 3]
[{to, acquire} apps: 10]
[{light, and} apps: 211]
[{i, do} apps: 18]
[{that, the} apps: 462]
[{the, aid} apps: 6]
[{title, the} apps: 1]
[{each, observation} apps: 1]
[{interest, which} apps: 2]
[{a, singular} apps: 1]
[{the, trattato} apps: 7]
[{order, so} apps: 1]
[{frizzoni, of} apps: 1]
[{perspective, 50} apps: 1]
[{other, information} apps: 2]
[{of, light} apps: 145]
[{arranged, them} apps: 1]
[{for, the} apps: 289]
[{of, this} apps: 262]
[{i, have} apps: 120]
[{in, our} apps: 24]
[{at, milan} apps: 45]
[{of, perception} apps: 3]
[{the, leaves} apps: 39]
[{from, the} apps: 826]
[{and, shadows} apps: 9]
[{centrale, administrative} apps: 1]
[{different, principles} apps: 2]
[{seem, to} apps: 60]
[{of, the} apps: 4417]
[{distinct, parts} apps: 1]
[{times, for} apps: 1]
[{a, singular} apps: 1]
[{lalanne, of} apps: 1]
[{permission, please} apps: 1]
[{this, project} apps: 3]
[{giov, morelli} apps: 2]
[{of, some} apps: 35]
[{on, light} apps: 21]
[{nothing, but} apps: 8]
[{mrs, r} apps: 1]
[{sughero, the} apps: 1]
[{comparatively, small} apps: 2]
[{these, by} apps: 3]
[{with, reference} apps: 13]
[{be, rash} apps: 4]
[{a, picture} apps: 29]
[{of, the} apps: 4417]
[{for, the} apps: 289]
[{himself, their} apps: 1]
[{on, indistinctness} apps: 6]
[{certainty, the} apps: 1]
[{that, this} apps: 66]
[{both, of} apps: 5]
[{movement, of} apps: 25]
[{book, on} apps: 38]
[{file, please} apps: 1]
[{on, the} apps: 988]
[{infinitely, more} apps: 1]
[{in, facsimile} apps: 12]
[{di, molte} apps: 1]
[{the, christian} apps: 2]
[{eyes, 26} apps: 2]
[{for, this} apps: 34]
[{martelli, is} apps: 1]
[{in, his} apps: 116]
[{of, perception} apps: 3]
[{about, two} apps: 5]
[{they, may} apps: 23]
[{instance, will} apps: 1]
[{however, by} apps: 2]
[{runs, backwards} apps: 2]
[{in, the} apps: 1787]
[{images, reflected} apps: 2]
[{it, is} apps: 689]
[{revision, of} apps: 1]
[{authoritative, clue} apps: 1]
[{also, exactly} apps: 1]
[{as, complete} apps: 3]
[{from, the} apps: 826]
[{answer, to} apps: 4]
[{which, that} apps: 2]
[{manuscripts, now} apps: 1]
[{leonardo, da} apps: 37]
[{intensity, of} apps: 4]
[{the, relations} apps: 7]
[{that, the} apps: 462]
[{by, one} apps: 11]
[{her, majesty} apps: 3]
[{representations, 674} apps: 2]
[{thirteen, leaves} apps: 1]
[{420, 422} apps: 2]
[{239, the} apps: 1]
[{paragraphs, is} apps: 1]
[{highly, appreciated} apps: 1]
[{in, how} apps: 1]
[{most, recently} apps: 1]
[{as, a} apps: 112]
[{in, this} apps: 118]
[{braccio, martelli} apps: 2]
[{midday, light} apps: 2]
[{animals, 585} apps: 2]
[{regard, to} apps: 34]
[{he, has} apps: 31]
[{211, 212} apps: 2]
[{572, the} apps: 1]
[{411, the} apps: 2]
[{page, will} apps: 2]
[{any, original} apps: 1]
[{left, hand} apps: 28]
[{gradations, in} apps: 3]
[{of, trees} apps: 46]
[{none, of} apps: 14]
[{mentioned, as} apps: 3]
[{function, of} apps: 13]
[{text, had} apps: 1]
[{to, state} apps: 2]
[{proportion, of} apps: 20]
[{of, a} apps: 546]
[{of, the} apps: 4417]
[{of, different} apps: 13]
[{323, relative} apps: 1]
[{19, 20} apps: 3]
[{the, position} apps: 25]
[{characters, and} apps: 1]
[{law, of} apps: 12]
[{by, other} apps: 6]
[{of, it} apps: 101]
[{in, our} apps: 24]
[{distance, 86} apps: 2]
[{is, generally} apps: 2]
[{florence, at} apps: 2]
[{by, charles} apps: 2]
[{is, mainly} apps: 1]
[{is, therefore} apps: 2]
[{sheets, the} apps: 1]
[{a, great} apps: 88]
[{the, elements} apps: 23]
[{photogravure, her} apps: 1]
[{collated, and} apps: 1]
[{of, their} apps: 128]
[{140, light} apps: 1]
[{obscura, 273} apps: 2]
[{are, extremely} apps: 3]
[{book, on} apps: 38]
[{s, handwriting} apps: 2]
[{pages, which} apps: 1]
[{a, word} apps: 2]
[{1, in} apps: 6]
[{manuscripts, and} apps: 6]
[{laws, for} apps: 2]
[{this, sufficient} apps: 1]
[{publish, his} apps: 2]
[{portion, of} apps: 92]
[{the, pen} apps: 18]
[{structure, of} apps: 14]
[{pages, to} apps: 1]
[{each, in} apps: 6]
[{74, 75} apps: 2]
[{of, the} apps: 4417]
[{be, that} apps: 13]
[{from, about} apps: 2]
[{shade, general} apps: 1]
[{a, selection} apps: 3]
[{and, dissertations} apps: 3]
[{a, mystery} apps: 1]
[{both, of} apps: 5]
[{to, be} apps: 412]
[{then, come} apps: 1]
[{general, conclusions} apps: 2]
[{battle, pieces} apps: 2]
[{is, scarcely} apps: 7]
[{rightly, in} apps: 1]
[{the, practical} apps: 8]
[{of, vision} apps: 9]
[{to, read} apps: 4]
[{painting, and} apps: 11]
[{came, within} apps: 1]
[{relative, proportions} apps: 12]
[{for, publication} apps: 3]
[{a, picture} apps: 29]
[{263, 271} apps: 1]
[{figures, in} apps: 9]
[{of, leonardo} apps: 78]
[{ceriani, of} apps: 1]
[{proportions, of} apps: 38]
[{painting, 533} apps: 2]
[{to, the} apps: 1381]
[{dates, from} apps: 2]
[{della, pittura} apps: 7]
[{centuries, their} apps: 1]
[{effects, of} apps: 15]
[{turin, and} apps: 1]
[{librarian, at} apps: 1]
[{me, was} apps: 3]
[{604, of} apps: 2]
[{458, 464} apps: 3]
[{of, mss} apps: 4]
[{ebooks, were} apps: 1]
[{at, the} apps: 466]
[{and, lustre} apps: 4]
[{the, title} apps: 22]
[{to, pose} apps: 2]
[{the, manuscripts} apps: 23]
[{reading, direct} apps: 1]
[{superior, to} apps: 5]
[{were, almost} apps: 1]
[{i, and} apps: 6]
[{mss, treating} apps: 2]
[{and, of} apps: 137]
[{limitations, of} apps: 3]
[{admonition, to} apps: 2]
[{difficulty, of} apps: 1]
[{this, obvious} apps: 1]
[{the, consecutive} apps: 3]
[{s, genius} apps: 1]
[{187, fourth} apps: 1]
[{subject, of} apps: 11]
[{of, the} apps: 4417]
[{contain, besides} apps: 1]
[{v, theory} apps: 2]
[{industry, and} apps: 2]
[{already, proved} apps: 2]
[{86, 88} apps: 2]
[{arrangement, of} apps: 29]
[{to, prove} apps: 42]
[{and, i} apps: 44]
[{vatican, library} apps: 3]
[{612, 617} apps: 2]
[{book, on} apps: 38]
[{617, on} apps: 1]
[{works, two} apps: 1]
[{458, 464} apps: 3]
[{the, studio} apps: 3]
[{could, not} apps: 43]
[{659, on} apps: 1]
[{these, valuable} apps: 1]
[{wall, painting} apps: 3]
[{341, the} apps: 2]
[{the, notebooks} apps: 6]
[{the, text} apps: 127]
[{we, find} apps: 52]
[{one, to} apps: 10]
[{down, in} apps: 8]
[{with, regard} apps: 34]
[{with, any} apps: 14]
[{to, leave} apps: 4]
[{evident, by} apps: 2]
[{lamented, this} apps: 1]
[{team, the} apps: 1]
[{which, are} apps: 217]
[{136, experiments} apps: 1]
[{s, writings} apps: 5]
[{and, popular} apps: 1]
[{377a, 1170a} apps: 1]
[{162, on} apps: 1]
[{of, the} apps: 4417]
[{date, of} apps: 12]
[{them, together} apps: 7]
[{librarian, of} apps: 2]
[{definition, of} apps: 15]
[{while, the} apps: 36]
[{wanting, but} apps: 1]
[{six, books} apps: 2]
[{upon, the} apps: 34]
[{279, 280} apps: 2]
[{the, proportions} apps: 24]
[{by, the} apps: 724]
[{635, 637} apps: 2]
[{nature, 651} apps: 2]
[{pages, which} apps: 1]
[{leonardo, da} apps: 37]
[{the, arrangement} apps: 22]
[{here, printed} apps: 7]
[{granted, me} apps: 5]
[{never, been} apps: 3]
[{375, 379} apps: 2]
[{in, itself} apps: 42]
[{of, colours} apps: 24]
[{453, light} apps: 1]
[{and, sketches} apps: 4]
[{di, firenze} apps: 5]
[{of, the} apps: 4417]
[{commanded, but} apps: 1]
[{separate, paragraphs} apps: 1]
[{any, serious} apps: 1]
[{should, read} apps: 1]
[{451, the} apps: 1]
[{to, me} apps: 81]
[{eating, and} apps: 2]
[{of, the} apps: 4417]
[{434, a} apps: 1]
[{light, and} apps: 211]
[{22nd, day} apps: 1]
[{passage, is} apps: 31]
[{together, with} apps: 27]
[{on, the} apps: 988]
[{figure, preliminary} apps: 1]
[{the, exact} apps: 5]
[{most, of} apps: 23]
[{perdimenti, from} apps: 1]
[{on, air} apps: 2]
[{not, be} apps: 62]
[{s, text} apps: 1]
[{90, the} apps: 1]
[{laws, of} apps: 9]
[{the, trattato} apps: 7]
[{leonardo, himself} apps: 22]
[{inexplicable, that} apps: 1]
[{and, dissertations} apps: 3]
[{to, project} apps: 7]
[{of, shadows} apps: 18]
[{contain, besides} apps: 1]
[{e, j} apps: 1]
[{supported, on} apps: 5]
[{substitute, by} apps: 1]
[{light, 449} apps: 2]
[{be, said} apps: 6]
[{of, the} apps: 4417]
[{with, reference} apps: 13]
[{studio, 509} apps: 2]
[{in, the} apps: 1787]
[{be, assigned} apps: 3]
[{distribution, of} apps: 14]
[{different, principles} apps: 2]
[{they, are} apps: 216]
[{of, colours} apps: 24]
[{them, together} apps: 7]
[{of, the} apps: 4417]
[{195, on} apps: 1]
[{of, the} apps: 4417]
[{and, the} apps: 1034]
[{readable, by} apps: 1]
[{which, o} apps: 2]
[{how, to} apps: 45]
[{liberal, manner} apps: 1]
[{of, trees} apps: 46]
[{163, 165} apps: 2]
[{judging, of} apps: 3]
[{on, the} apps: 988]
[{of, leonardo} apps: 78]
[{production, as} apps: 1]
[{be, permitted} apps: 1]
[{the, proportions} apps: 24]
[{pictures, and} apps: 3]
[{cast, shadows} apps: 14]
[{on, the} apps: 988]
[{copy, a} apps: 1]
[{42, 46} apps: 2]
[{note, books} apps: 9]
