Time to create 108901 pairs for Array: 70.8181 seconds.
Time to search 2887 pairs for Array: 0.043374 seconds.

Pairs and their number of appearances:
[{monument, and} apps: 1]
[{proportion, of} apps: 20]
[{is, written} apps: 57]
[{illustrations, that} apps: 1]
[{are, the} apps: 80]
[{on, the} apps: 988]
[{the, artist} apps: 17]
[{that, we} apps: 21]
[{under, the} apps: 78]
[{page, observations} apps: 1]
[{to, the} apps: 1381]
[{for, which} apps: 7]
[{the, oldest} apps: 4]
[{manuscript, extant} apps: 1]
[{written, on} apps: 28]
[{noteworthy, that} apps: 1]
[{certain, observations} apps: 1]
[{each, proposition} apps: 1]
[{the, texts} apps: 19]
[{the, water} apps: 150]
[{to, regulate} apps: 1]
[{english, start} apps: 1]
[{in, this} apps: 118]
[{a, mathematician} apps: 2]
[{distances, 182} apps: 2]
[{on, the} apps: 988]
[{1, to} apps: 2]
[{and, the} apps: 1034]
[{ebook, was} apps: 1]
[{the, labours} apps: 2]
[{leonardos, literary} apps: 1]
[{of, march} apps: 7]
[{of, unfortunate} apps: 1]
[{88, opposite} apps: 1]
[{that, before} apps: 2]
[{149, on} apps: 1]
[{567, 570} apps: 3]
[{i, have} apps: 120]
[{1888, preface} apps: 1]
[{was, the} apps: 36]
[{exercises, 507} apps: 2]
[{plan, of} apps: 37]
[{but, a} apps: 34]
[{that, such} apps: 9]
[{team, the} apps: 1]
[{of, the} apps: 4417]
[{aerial, perspective} apps: 13]
[{227, 231} apps: 3]
[{512, on} apps: 1]
[{inexplicable, that} apps: 1]
[{short, words} apps: 1]
[{leonardo, s} apps: 200]
[{451, the} apps: 1]
[{the, antique} apps: 7]
[{the, word} apps: 29]
[{and, project} apps: 1]
[{and, decorations} apps: 5]
[{the, most} apps: 56]
[{of, nearly} apps: 1]
[{has, become} apps: 5]
[{conclusions, 67} apps: 1]
[{a, collection} apps: 1]
[{gutenberg, and} apps: 1]
[{through, england} apps: 1]
[{in, the} apps: 1787]
[{and, in} apps: 220]
[{it, is} apps: 689]
[{perspective, of} apps: 24]
[{function, of} apps: 13]
[{matter, came} apps: 1]
[{to, investigate} apps: 1]
[{on, light} apps: 21]
[{be, regarded} apps: 20]
[{where, all} apps: 4]
[{no, reader} apps: 1]
[{short, words} apps: 1]
[{have, known} apps: 5]
[{the, exceptions} apps: 1]
[{1, in} apps: 6]
[{by, two} apps: 8]
[{friend, baron} apps: 1]
[{a, man} apps: 138]
[{light, and} apps: 211]
[{by, connecting} apps: 1]
[{down, his} apps: 2]
[{value, was} apps: 1]
[{the, word} apps: 29]
[{who, first} apps: 3]
[{june, 26} apps: 1]
[{elements, of} apps: 9]
[{so, long} apps: 16]
[{i, was} apps: 15]
[{science, of} apps: 7]
[{remain, to} apps: 2]
[{books, on} apps: 11]
[{the, word} apps: 29]
[{manuscripts, given} apps: 1]
[{himself, their} apps: 1]
[{is, therefore} apps: 2]
[{as, to} apps: 174]
[{age, and} apps: 4]
[{and, not} apps: 70]
[{to, work} apps: 15]
[{number, of} apps: 73]
[{graciously, accorded} apps: 1]
[{262, v} apps: 1]
[{by, leonardo} apps: 63]
[{i, will} apps: 56]
[{the, differences} apps: 4]
[{recklessly, subjected} apps: 1]
[{in, the} apps: 1787]
[{could, have} apps: 7]
[{were, all} apps: 7]
[{the, translation} apps: 6]
[{xvith, and} apps: 1]
[{in, 1882} apps: 1]
[{due, execution} apps: 1]
[{knowledge, 488} apps: 2]
[{evidently, had} apps: 1]
[{for, landscapes} apps: 2]
[{the, texts} apps: 19]
[{various, departments} apps: 1]
[{of, portrait} apps: 2]
[{monument, and} apps: 1]
[{of, growth} apps: 4]
[{were, infinitely} apps: 1]
[{marks, of} apps: 3]
[{but, from} apps: 10]
[{443, the} apps: 1]
[{1, in} apps: 6]
[{of, the} apps: 4417]
[{that, the} apps: 462]
[{hardly, begun} apps: 1]
[{these, copies} apps: 1]
[{and, wherefore} apps: 1]
[{his, life} apps: 20]
[{practice, 490} apps: 2]
[{many, of} apps: 8]
[{gradations, in} apps: 3]
[{ii, may} apps: 1]
[{given, at} apps: 5]
[{conditions, 491} apps: 2]
[{scenes, 604} apps: 1]
[{shade, 555} apps: 1]
[{for, the} apps: 289]
[{of, an} apps: 63]
[{louis, lalanne} apps: 1]
[{65, 66} apps: 2]
[{general, rules} apps: 4]
[{271, combination} apps: 1]
[{on, mechanics} apps: 2]
[{written, observations} apps: 2]
[{by, computers} apps: 1]
[{605, 606} apps: 2]
[{of, sight} apps: 43]
[{point, to} apps: 6]
[{in, water} apps: 15]
[{not, those} apps: 1]
[{discoveries, were} apps: 1]
[{researches, and} apps: 1]
[{number, of} apps: 73]
[{for, painters} apps: 6]
[{on, the} apps: 988]
[{and, shade} apps: 106]
[{the, queen} apps: 9]
[{this, obvious} apps: 1]
[{678, arrangement} apps: 1]
[{or, any} apps: 19]
[{on, perspective} apps: 9]
[{to, the} apps: 1381]
[{time, under} apps: 2]
[{giov, morelli} apps: 2]
[{specific, rights} apps: 1]
[{march, 25th} apps: 1]
[{was, to} apps: 8]
[{various, texts} apps: 1]
[{by, the} apps: 724]
[{of, depicting} apps: 6]
[{to, prosecute} apps: 1]
[{which, has} apps: 50]
[{greatly, indebted} apps: 1]
[{thompson, keeper} apps: 1]
[{571, 572} apps: 2]
[{to, this} apps: 98]
[{reference, to} apps: 20]
[{practised, in} apps: 1]
[{order, of} apps: 24]
[{phrases, much} apps: 1]
[{of, trees} apps: 46]
[{the, apparent} apps: 15]
[{612, 617} apps: 2]
[{himself, lamented} apps: 1]
[{to, acquire} apps: 10]
[{with, reference} apps: 13]
[{the, oldest} apps: 4]
[{593, 600} apps: 2]
[{i, was} apps: 15]
[{not, write} apps: 1]
[{of, trees} apps: 46]
[{document, thus} apps: 1]
[{himself, he} apps: 4]
[{and, how} apps: 25]
[{downloading, or} apps: 1]
[{of, the} apps: 4417]
[{twice, printed} apps: 1]
[{with, any} apps: 14]
[{preparing, the} apps: 2]
[{493, the} apps: 1]
[{441, 443} apps: 2]
[{how, to} apps: 45]
[{at, the} apps: 466]
[{of, some} apps: 35]
[{editions, of} apps: 5]
[{199, on} apps: 1]
[{the, division} apps: 8]
[{in, the} apps: 1787]
[{gradations, of} apps: 8]
[{her, majesty} apps: 3]
[{the, practice} apps: 13]
[{by, monsieur} apps: 1]
[{the, manuscripts} apps: 23]
[{of, some} apps: 35]
[{in, the} apps: 1787]
[{first, by} apps: 1]
[{232, 234} apps: 3]
[{ebook, of} apps: 1]
[{relations, of} apps: 6]
[{be, sure} apps: 2]
[{manuscripts, and} apps: 6]
[{satisfactory, reading} apps: 1]
[{considering, the} apps: 5]
[{thus, the} apps: 34]
[{subsequently, enabled} apps: 1]
[{necessity, of} apps: 5]
[{date, of} apps: 12]
[{or, edit} apps: 1]
[{gifts, and} apps: 2]
[{and, by} apps: 80]
[{and, shade} apps: 106]
[{since, been} apps: 2]
[{in, the} apps: 1787]
[{224, a} apps: 1]
[{of, painting} apps: 66]
[{the, extensive} apps: 1]
[{and, which} apps: 53]
[{the, application} apps: 2]
[{this, is} apps: 187]
[{in, cast} apps: 2]
[{than, one} apps: 8]
[{the, light} apps: 248]
[{in, the} apps: 1787]
[{confusion, and} apps: 2]
[{110, scheme} apps: 1]
[{wholly, wanting} apps: 1]
[{point, 42} apps: 2]
[{331, on} apps: 1]
[{under, water} apps: 14]
[{the, first} apps: 214]
[{responsible, and} apps: 1]
[{663, bernardo} apps: 1]
[{sheets, so} apps: 1]
[{491, 493} apps: 2]
[{377a, 1170a} apps: 1]
[{of, unfortunate} apps: 1]
[{very, injudiciously} apps: 1]
[{of, merely} apps: 1]
[{shade, 111} apps: 2]
[{of, arranging} apps: 2]
[{figures, 592} apps: 2]
[{163, 165} apps: 2]
[{dujardin, of} apps: 1]
[{the, third} apps: 43]
[{can, only} apps: 13]
[{his, mighty} apps: 1]
[{the, effect} apps: 27]
[{of, some} apps: 35]
[{copy, which} apps: 1]
[{be, found} apps: 60]
[{into, english} apps: 1]
[{and, which} apps: 53]
[{and, which} apps: 53]
[{no, other} apps: 17]
[{copy, which} apps: 1]
[{rational, scheme} apps: 1]
[{direct, from} apps: 2]
[{word, channa} apps: 1]
[{of, light} apps: 145]
[{72, 73} apps: 2]
[{22nd, day} apps: 1]
[{the, exact} apps: 5]
[{and, complex} apps: 2]
[{battle, of} apps: 10]
[{runs, backwards} apps: 2]
[{lustre, 132} apps: 2]
[{by, specialists} apps: 1]
[{function, of} apps: 13]
[{the, function} apps: 13]
[{with, reference} apps: 13]
[{apparent, size} apps: 11]
[{known, leonardo} apps: 1]
[{proportions, and} apps: 7]
[{introductions, to} apps: 2]
[{work, by} apps: 6]
[{1817, and} apps: 1]
[{disorder, in} apps: 2]
[{iii, the} apps: 5]
[{323, relative} apps: 1]
[{hand, so} apps: 1]
[{permission, to} apps: 3]
[{the, revd} apps: 2]
[{materials, 638} apps: 2]
[{be, no} apps: 28]
[{you, can} apps: 44]
[{the, marchese} apps: 5]
[{of, which} apps: 119]
[{485, the} apps: 1]
[{use, of} apps: 25]
[{picture, 679} apps: 1]
[{from, the} apps: 826]
[{fragmentary, the} apps: 1]
[{586, 591} apps: 1]
[{perspective, general} apps: 2]
[{recently, updated} apps: 1]
[{it, requires} apps: 1]
[{to, represent} apps: 41]
[{evidently, had} apps: 1]
[{509, on} apps: 1]
[{a, suggestion} apps: 1]
[{movements, of} apps: 14]
[{many, matters} apps: 1]
[{and, more} apps: 26]
[{of, leonardo} apps: 78]
[{sheets, the} apps: 1]
[{subsequently, enabled} apps: 1]
[{295, 297} apps: 2]
[{181, the} apps: 1]
[{granted, me} apps: 5]
[{to, mrs} apps: 1]
[{137, 140} apps: 2]
[{of, the} apps: 4417]
[{i, may} apps: 28]
[{i, have} apps: 120]
[{shade, and} apps: 22]
[{of, sight} apps: 43]
[{collated, and} apps: 1]
[{the, artist} apps: 17]
[{this, plan} apps: 10]
[{order, taken} apps: 1]
[{the, depth} apps: 12]
[{of, a} apps: 546]
[{regard, to} apps: 34]
[{to, the} apps: 1381]
[{any, connection} apps: 3]
[{thus, the} apps: 34]
[{at, all} apps: 24]
[{to, the} apps: 1381]
[{in, facsimile} apps: 12]
[{copy, and} apps: 4]
[{failed, leonardos} apps: 1]
[{painting, of} apps: 11]
[{and, it} apps: 123]
[{no, doubt} apps: 23]
[{485, the} apps: 1]
[{books, in} apps: 1]
[{particular, subjects} apps: 2]
[{their, order} apps: 1]
[{the, results} apps: 7]
[{the, nature} apps: 66]
[{were, those} apps: 2]
[{of, the} apps: 4417]
[{light, 449} apps: 2]
[{this, project} apps: 3]
[{book, on} apps: 38]
[{venice, the} apps: 2]
[{to, state} apps: 2]
[{of, his} apps: 149]
[{different, languages} apps: 1]
[{body, 332} apps: 2]
[{doubt, rests} apps: 1]
[{which, are} apps: 217]
[{eye, and} apps: 92]
[{arranged, them} apps: 1]
[{which, are} apps: 217]
[{end, of} apps: 60]
[{to, devise} apps: 2]
[{the, royal} apps: 10]
[{on, painting} apps: 27]
[{perspective, gradations} apps: 2]
[{so, that} apps: 119]
[{of, paris} apps: 4]
[{injudiciously, continued} apps: 1]
[{the, enormous} apps: 2]
[{in, the} apps: 1787]
[{and, france} apps: 2]
[{the, christian} apps: 2]
[{more, to} apps: 5]
[{day, have} apps: 1]
[{may, stay} apps: 2]
[{both, humans} apps: 1]
[{s, works} apps: 3]
[{effects, on} apps: 2]
[{to, the} apps: 1381]
[{rash, to} apps: 4]
[{use, of} apps: 25]
[{falling, into} apps: 5]
[{de, l} apps: 13]
[{i, and} apps: 6]
[{publication, 2} apps: 2]
[{of, strength} apps: 5]
[{has, been} apps: 79]
[{dispersed, throughout} apps: 1]
[{indefatigable, interest} apps: 1]
[{her, majesty} apps: 3]
[{from, leonardo} apps: 7]
[{writings, i} apps: 3]
[{such, as} apps: 44]
[{retain, them} apps: 3]
[{text, of} apps: 21]
[{to, be} apps: 412]
[{of, trees} apps: 46]
[{in, preparing} apps: 4]
[{of, the} apps: 4417]
[{the, artist} apps: 17]
[{beginning, a} apps: 1]
[{617, on} apps: 1]
[{from, my} apps: 1]
[{author, s} apps: 7]
[{is, much} apps: 13]
[{royal, library} apps: 4]
[{complete, of} apps: 1]
[{himself, he} apps: 4]
[{preparation, of} apps: 6]
[{of, complete} apps: 1]
[{the, order} apps: 25]
[{beginning, of} apps: 43]
[{consecutive, numbers} apps: 1]
[{mind, alexander} apps: 1]
[{this, treatise} apps: 2]
[{collections, for} apps: 1]
[{379, on} apps: 1]
[{the, prospettiva} apps: 7]
[{construct, a} apps: 3]
[{effect, of} apps: 26]
[{how, to} apps: 45]
[{in, itself} apps: 42]
[{of, perspective} apps: 34]
[{effects, of} apps: 15]
[{preparation, and} apps: 2]
[{without, any} apps: 28]
[{are, many} apps: 7]
[{89, on} apps: 1]
[{animals, 585} apps: 2]
[{of, the} apps: 4417]
[{in, a} apps: 273]
[{10, language} apps: 1]
[{to, mrs} apps: 1]
[{of, the} apps: 4417]
[{the, uffizi} apps: 5]
[{to, the} apps: 1381]
[{from, ms} apps: 5]
[{often, planned} apps: 1]
[{and, with} apps: 64]
[{at, holkham} apps: 1]
[{a, review} apps: 1]
[{say, i} apps: 4]
[{of, leonardo} apps: 78]
[{by, connecting} apps: 1]
[{to, the} apps: 1381]
[{to, add} apps: 3]
[{you, would} apps: 29]
[{collection, at} apps: 3]
[{a, disputed} apps: 2]
[{figure, 338} apps: 2]
[{by, reason} apps: 39]
[{of, particular} apps: 3]
[{definition, 222} apps: 2]
[{suffered, irremediable} apps: 1]
[{remained, so} apps: 2]
[{by, the} apps: 724]
[{on, the} apps: 988]
[{important, rules} apps: 1]
[{have, been} apps: 143]
[{were, numbered} apps: 1]
[{rendered, possible} apps: 1]
[{books, on} apps: 11]
[{windsor, the} apps: 2]
[{of, the} apps: 4417]
[{50, the} apps: 2]
[{464, on} apps: 1]
[{admirers, should} apps: 1]
[{of, which} apps: 119]
[{of, the} apps: 4417]
[{which, that} apps: 2]
[{and, restrictions} apps: 1]
[{general, remarks} apps: 4]
[{which, occupied} apps: 2]
[{for, a} apps: 76]
[{on, varnishes} apps: 2]
[{the, destiny} apps: 1]
[{of, the} apps: 4417]
[{or, redistributing} apps: 1]
[{that, reason} apps: 2]
[{since, leonardo} apps: 4]
[{565, on} apps: 1]
[{gave, me} apps: 2]
[{are, written} apps: 39]
[{mss, 1} apps: 2]
[{right, to} apps: 8]
[{copied, here} apps: 1]
[{he, was} apps: 47]
[{the, accademia} apps: 5]
[{the, three} apps: 26]
[{of, colours} apps: 24]
[{the, division} apps: 8]
[{the, relative} apps: 27]
[{puzzling, and} apps: 1]
[{and, shade} apps: 106]
[{word, channa} apps: 1]
[{of, the} apps: 4417]
[{88, opposite} apps: 1]
[{be, obliged} apps: 2]
[{119, 122} apps: 2]
[{having, hardly} apps: 1]
[{in, the} apps: 1787]
[{his, intentions} apps: 1]
[{of, perspective} apps: 34]
[{text, into} apps: 2]
[{for, which} apps: 7]
[{branches, to} apps: 3]
[{seen, in} apps: 82]
[{reciprocal, effects} apps: 2]
[{reference, to} apps: 20]
[{texts, to} apps: 1]
[{words, which} apps: 3]
[{self, evident} apps: 4]
[{on, the} apps: 988]
[{the, brit} apps: 2]
[{other, 263} apps: 2]
[{happy, as} apps: 1]
[{how, to} apps: 45]
[{not, write} apps: 1]
[{turn, over} apps: 3]
[{since, 1971} apps: 1]
[{of, the} apps: 4417]
[{at, bologna} apps: 3]
[{all, the} apps: 238]
[{there, the} apps: 5]
[{vii, on} apps: 3]
[{may, reconstruct} apps: 1]
[{he, seems} apps: 6]
[{useful, games} apps: 2]
[{at, holkham} apps: 1]
[{of, sight} apps: 43]
[{of, perception} apps: 3]
[{study, of} apps: 23]
[{by, ludwig} apps: 1]
[{nay, yet} apps: 1]
[{such, a} apps: 84]
[{representations, 674} apps: 2]
[{lamented, this} apps: 1]
[{all, the} apps: 238]
[{private, owners} apps: 1]
[{supposed, to} apps: 10]
[{be, accounted} apps: 1]
[{size, of} apps: 56]
[{71, the} apps: 1]
[{written, permission} apps: 1]
[{merits, are} apps: 1]
[{like, is} apps: 1]
[{subjects, many} apps: 1]
[{from, the} apps: 826]
[{of, the} apps: 4417]
[{each, observation} apps: 1]
[{in, action} apps: 5]
[{branches, and} apps: 8]
[{men, in} apps: 9]
[{on, a} apps: 99]
[{preparation, of} apps: 6]
[{manuscript, pages} apps: 1]
[{in, vol} apps: 16]
[{representing, imaginary} apps: 2]
[{and, shade} apps: 106]
[{reason, of} apps: 48]
[{over, this} apps: 2]
[{i, may} apps: 28]
[{are, there} apps: 5]
[{and, this} apps: 274]
[{many, of} apps: 8]
[{del, moto} apps: 2]
[{indeed, can} apps: 1]
[{by, jean} apps: 2]
[{part, of} apps: 210]
[{and, in} apps: 220]
[{long, one} apps: 1]
[{depicting, a} apps: 3]
[{arising, from} apps: 1]
[{not, surprising} apps: 2]
[{of, the} apps: 4417]
[{the, liberality} apps: 1]
[{that, the} apps: 462]
[{her, majesty} apps: 3]
[{also, greatly} apps: 1]
[{redistributing, this} apps: 1]
[{comparative, size} apps: 2]
[{635, 637} apps: 2]
[{any, substitute} apps: 1]
[{several, months} apps: 1]
[{instruments, and} apps: 5]
[{trees, in} apps: 10]
[{library, at} apps: 11]
[{533, 535} apps: 2]
[{classification, of} apps: 5]
[{and, shadows} apps: 9]
[{of, the} apps: 4417]
[{project, gutenberg} apps: 34]
[{to, be} apps: 412]
[{reprinted, about} apps: 1]
[{in, 1828} apps: 1]
[{humboldt, himself} apps: 1]
[{sketching, figures} apps: 2]
[{the, third} apps: 43]
[{and, by} apps: 80]
[{a, corresponding} apps: 1]
[{of, the} apps: 4417]
[{pages, the} apps: 2]
[{the, mistaken} apps: 2]
[{ships, and} apps: 4]
[{of, unfortunate} apps: 1]
[{to, judge} apps: 5]
[{68, a} apps: 1]
[{accused, of} apps: 1]
[{contain, passages} apps: 1]
[{trattato, della} apps: 1]
[{of, works} apps: 2]
[{day, of} apps: 49]
[{and, of} apps: 137]
[{the, xvith} apps: 10]
[{trees, in} apps: 10]
[{them, the} apps: 27]
[{1, to} apps: 2]
[{having, hardly} apps: 1]
[{himself, lamented} apps: 1]
[{choice, of} apps: 9]
[{begin, with} apps: 7]
[{numerous, works} apps: 2]
[{of, the} apps: 4417]
[{museum, mr} apps: 1]
[{5, 8} apps: 3]
[{fancy, of} apps: 1]
[{referring, to} apps: 22]
[{and, by} apps: 80]
[{attached, to} apps: 10]
[{130, 131} apps: 3]
[{other, 263} apps: 2]
[{relative, proportions} apps: 12]
[{674, 678} apps: 2]
[{text, leonardo} apps: 2]
[{his, word} apps: 1]
[{may, stay} apps: 2]
[{of, chalk} apps: 2]
[{that, i} apps: 42]
[{he, should} apps: 9]
[{on, the} apps: 988]
[{popular, through} apps: 1]
[{philosopher, and} apps: 2]
[{bodies, 136} apps: 1]
[{laws, for} apps: 2]
[{we, find} apps: 52]
[{was, highly} apps: 1]
[{140, light} apps: 1]
[{complete, to} apps: 1]
[{napier, librarian} apps: 1]
[{librarian, to} apps: 1]
[{sight, 52} apps: 2]
[{painting, clavis} apps: 1]
[{xviiith, centuries} apps: 1]
[{r, a} apps: 4]
[{be, rash} apps: 4]
[{light, and} apps: 211]
[{the, notebooks} apps: 6]
[{the, relative} apps: 27]
[{the, passages} apps: 22]
[{of, his} apps: 149]
[{together, the} apps: 8]
[{on, mechanics} apps: 2]
[{in, the} apps: 1787]
[{is, frequently} apps: 1]
[{purpose, the} apps: 3]
[{present, day} apps: 6]
[{relative, size} apps: 4]
[{since, 1971} apps: 1]
[{all, and} apps: 10]
[{interest, taken} apps: 1]
[{movement, of} apps: 25]
[{a, singular} apps: 1]
[{museum, and} apps: 1]
[{shadows, 200} apps: 2]
[{for, several} apps: 1]
[{of, the} apps: 4417]
[{286, on} apps: 1]
[{whole, vasari} apps: 1]
[{directors, of} apps: 1]
[{parts, without} apps: 1]
[{92, the} apps: 1]
[{in, florence} apps: 17]
[{107, 109} apps: 2]
[{the, notebooks} apps: 6]
[{to, the} apps: 1381]
[{namely, the} apps: 2]
[{in, a} apps: 273]
[{the, spectator} apps: 22]
[{head, of} apps: 29]
[{the, most} apps: 56]
[{seems, to} apps: 103]
[{de, france} apps: 6]
[{methods, of} apps: 10]
[{7, sughero} apps: 1]
[{of, representing} apps: 12]
[{regno, and} apps: 1]
[{on, the} apps: 988]
[{that, any} apps: 6]
[{cast, shadows} apps: 14]
[{only, be} apps: 7]
[{suffered, irremediable} apps: 1]
[{other, subjects} apps: 1]
[{of, which} apps: 119]
[{it, seems} apps: 41]
[{of, the} apps: 4417]
[{important, to} apps: 3]
[{of, more} apps: 6]
[{of, long} apps: 2]
[{have, known} apps: 5]
[{from, sir} apps: 1]
[{180, 181} apps: 2]
[{in, the} apps: 1787]
[{the, vast} apps: 9]
[{ebooks, were} apps: 1]
[{the, torso} apps: 15]
[{of, the} apps: 4417]
[{of, the} apps: 4417]
[{the, process} apps: 5]
[{remained, a} apps: 2]
[{classification, of} apps: 5]
[{any, accents} apps: 1]
[{representations, 674} apps: 2]
[{of, the} apps: 4417]
[{quite, arbitrarily} apps: 1]
[{falling, into} apps: 5]
[{which, now} apps: 3]
[{thought, to} apps: 1]
[{reference, to} apps: 20]
[{of, the} apps: 4417]
[{vinci, complete} apps: 4]
[{centuries, he} apps: 1]
[{more, likely} apps: 3]
[{halves, added} apps: 1]
[{of, indifference} apps: 1]
[{by, any} apps: 9]
[{thompson, keeper} apps: 1]
[{other, hand} apps: 15]
[{of, the} apps: 4417]
[{the, other} apps: 242]
[{to, judge} apps: 5]
[{the, eye} apps: 521]
[{given, as} apps: 22]
[{regard, to} apps: 34]
[{would, use} apps: 3]
[{of, proportions} apps: 2]
[{says, and} apps: 2]
[{choice, of} apps: 9]
[{of, light} apps: 145]
[{and, extensively} apps: 1]
[{men, who} apps: 24]
[{aid, of} apps: 7]
[{copy, a} apps: 1]
[{dependent, on} apps: 3]
[{the, marchese} apps: 5]
[{imaginary, animals} apps: 2]
[{of, remaining} apps: 3]
[{and, as} apps: 61]
[{racolto, tratto} apps: 1]
[{these, afford} apps: 1]
[{423, 426} apps: 2]
[{is, the} apps: 373]
[{to, adopt} apps: 1]
[{and, shade} apps: 106]
[{is, consequently} apps: 2]
[{of, light} apps: 145]
[{90, the} apps: 1]
[{perspective, 567} apps: 2]
[{abbate, ceriani} apps: 1]
[{tube, the} apps: 1]
[{the, separate} apps: 2]
[{of, cast} apps: 7]
[{the, christian} apps: 2]
[{174, on} apps: 1]
[{construction, of} apps: 25]
[{of, mss} apps: 4]
[{lady, day} apps: 1]
[{much, more} apps: 19]
[{of, merely} apps: 1]
[{method, is} apps: 2]
[{him, to} apps: 25]
[{this, responsible} apps: 1]
[{a, fair} apps: 2]
[{fragment, inciting} apps: 1]
[{the, division} apps: 8]
[{on, air} apps: 2]
[{the, librarians} apps: 1]
[{dissertations, on} apps: 2]
[{of, my} apps: 23]
[{491, 493} apps: 2]
[{all, leonardo} apps: 4]
[{of, luminous} apps: 10]
[{of, sight} apps: 43]
[{and, which} apps: 53]
[{of, the} apps: 4417]
[{may, be} apps: 239]
[{six, books} apps: 2]
[{arising, from} apps: 1]
[{not, to} apps: 50]
[{of, which} apps: 119]
[{them, bring} apps: 1]
[{all, the} apps: 238]
[{that, during} apps: 2]
[{trichet, dufresne} apps: 1]
[{found, thus} apps: 1]
[{in, his} apps: 116]
[{of, any} apps: 40]
[{183, 187} apps: 2]
[{ii, linear} apps: 2]
[{prices, which} apps: 1]
[{the, relations} apps: 7]
[{which, had} apps: 5]
[{confusion, they} apps: 1]
[{to, arrange} apps: 7]
[{order, in} apps: 5]
[{273, 274} apps: 2]
[{of, all} apps: 68]
[{at, the} apps: 466]
[{first, brought} apps: 2]
[{this, clue} apps: 1]
[{besides, the} apps: 11]
[{them, the} apps: 27]
[{since, have} apps: 2]
[{tube, a} apps: 1]
[{with, regard} apps: 34]
[{of, the} apps: 4417]
[{the, battle} apps: 16]
[{the, xviith} apps: 2]
[{task, i} apps: 1]
[{in, their} apps: 77]
[{of, a} apps: 546]
[{indicate, their} apps: 1]
[{the, previous} apps: 7]
[{of, any} apps: 40]
[{in, this} apps: 118]
[{them, all} apps: 7]
[{incidence, of} apps: 6]
[{continued, to} apps: 1]
[{of, leonardo} apps: 78]
[{before, and} apps: 5]
[{in, painting} apps: 18]
[{577, 581} apps: 2]
[{293, the} apps: 1]
[{second, book} apps: 4]
[{206, 207} apps: 3]
[{the, rainbow} apps: 11]
[{written, permission} apps: 1]
[{illustration, by} apps: 2]
[{of, strength} apps: 5]
[{detail, it} apps: 1]
[{the, idea} apps: 10]
[{then, having} apps: 3]
[{and, sex} apps: 2]
[{the, construction} apps: 24]
[{gutenberg, file} apps: 1]
[{on, indistinctness} apps: 6]
[{light, and} apps: 211]
[{copies, in} apps: 2]
[{of, some} apps: 35]
[{treating, of} apps: 7]
[{this, is} apps: 187]
[{casi, 39} apps: 1]
[{of, colours} apps: 24]
[{on, a} apps: 99]
[{his, powers} apps: 1]
[{proof, sheets} apps: 1]
[{and, in} apps: 220]
[{size, of} apps: 56]
[{five, thousand} apps: 2]
[{derived, shadow} apps: 47]
[{di, braccio} apps: 2]
[{the, commendatore} apps: 2]
[{the, front} apps: 21]
[{of, the} apps: 4417]
[{mss, 4} apps: 2]
[{on, painting} apps: 27]
[{painters, and} apps: 2]
[{queen, graciously} apps: 1]
[{of, schedule} apps: 1]
[{the, leaf} apps: 19]
[{whole, body} apps: 2]
[{with, regard} apps: 34]
[{426, of} apps: 1]
[{the, time} apps: 49]
[{one, or} apps: 5]
[{himself, he} apps: 4]
[{on, the} apps: 988]
[{and, some} apps: 13]
[{to, the} apps: 1381]
[{museum, and} apps: 1]
[{of, the} apps: 4417]
[{cast, shadows} apps: 14]
[{291, an} apps: 1]
[{the, disk} apps: 1]
[{fulfil, his} apps: 1]
[{to, leave} apps: 4]
[{function, of} apps: 13]
[{the, first} apps: 214]
[{bibliography, of} apps: 4]
[{linear, perspective} apps: 10]
[{and, in} apps: 220]
[{times, for} apps: 1]
[{of, manuscripts} apps: 8]
[{sure, to} apps: 2]
[{of, volume} apps: 4]
[{six, books} apps: 2]
[{at, turin} apps: 3]
[{favour, which} apps: 1]
[{order, in} apps: 5]
